age,sex,district,education,marital_status,B_year,employment_status,industry,main_activity
0-18,2,11,9.0,1,2004,-1.0,-1.0,-1.0
36-50,1,11,6.0,1,1968,-1.0,-1.0,99.0
19-35,1,11,8.0,2,1987,3.0,33150.0,1.0
36-50,2,11,12.0,2,1963,3.0,-1.0,8.0
36-50,1,11,2.0,4,1981,-1.0,47113.0,9.0
0-18,2,11,2.0,4,1974,5.0,86203.0,1.0
36-50,2,11,10.0,2,1978,1.0,85211.0,1.0
19-35,1,11,10.0,1,1989,-1.0,15121.0,1.0
36-50,2,11,12.0,2,1974,2.0,84130.0,1.0
0-18,2,11,10.0,1,2004,3.0,-1.0,7.0
0-18,1,11,5.0,2,1988,3.0,-1.0,-1.0
19-35,1,11,11.0,1,1985,3.0,47113.0,-1.0
36-50,2,11,10.0,2,1976,-1.0,-1.0,7.0
36-50,1,11,11.0,2,2009,6.0,85102.0,1.0
0-18,1,11,10.0,1,1973,-1.0,84230.0,-1.0
0-18,2,11,15.0,2,1971,-1.0,10711.0,9.0
0-18,1,11,12.0,1,2001,-1.0,-1.0,8.0
36-50,1,11,9.0,2,1958,6.0,47817.0,1.0
19-35,2,11,11.0,2,1994,-1.0,-1.0,7.0
51-65,1,11,9.0,2,2007,-1.0,-1.0,1.0
51-65,2,11,13.0,2,1959,-1.0,-1.0,7.0
0-18,2,11,4.0,1,1996,3.0,-1.0,9.0
66+,1,11,8.0,2,1942,-1.0,-1.0,9.0
66+,2,11,8.0,2,1988,-1.0,-1.0,1.0
0-18,2,11,5.0,1,2009,-1.0,-1.0,-1.0
36-50,2,11,10.0,2,1974,-1.0,-1.0,7.0
36-50,1,11,10.0,2,1968,5.0,49222.0,2.0
51-65,2,11,8.0,2,1959,-1.0,-1.0,7.0
36-50,2,11,9.0,2,1980,-1.0,-1.0,7.0
0-18,2,11,3.0,1,1963,-1.0,45402.0,8.0
0-18,2,11,13.0,2,1960,-1.0,56210.0,-1.0
19-35,1,11,-1.0,1,2004,2.0,-1.0,-1.0
36-50,1,11,13.0,2,1976,3.0,10503.0,1.0
0-18,2,11,13.0,1,2003,-1.0,47734.0,-1.0
36-50,2,11,11.0,2,1970,-1.0,-1.0,7.0
0-18,1,11,16.0,1,1934,1.0,85101.0,-1.0
66+,2,11,11.0,2,2017,-1.0,84230.0,1.0
0-18,1,11,0.0,1,2013,-1.0,-1.0,-1.0
51-65,2,11,19.0,2,1960,3.0,97004.0,1.0
0-18,2,11,4.0,1,2009,-1.0,-1.0,-1.0
19-35,2,11,13.0,2,1985,3.0,10503.0,1.0
0-18,2,11,11.0,1,1971,3.0,84130.0,8.0
66+,2,11,7.0,2,2002,-1.0,-1.0,-1.0
66+,2,11,11.0,2,1942,-1.0,-1.0,9.0
19-35,1,11,13.0,1,1999,-1.0,-1.0,8.0
0-18,1,11,4.0,1,2009,-1.0,-1.0,-1.0
51-65,2,11,13.0,2,1958,-1.0,-1.0,7.0
19-35,2,11,9.0,1,1990,3.0,-1.0,1.0
0-18,2,11,7.0,1,1991,-1.0,47711.0,7.0
66+,2,11,12.0,2,1979,-1.0,-1.0,7.0
19-35,1,11,5.0,1,1971,3.0,13921.0,1.0
66+,2,11,10.0,2,1943,-1.0,-1.0,7.0
51-65,2,11,19.0,2,1960,3.0,97006.0,1.0
51-65,2,11,8.0,1,2010,3.0,-1.0,1.0
66+,2,11,6.0,4,1937,-1.0,-1.0,9.0
66+,1,11,11.0,2,1960,3.0,-1.0,8.0
0-18,2,11,13.0,2,1960,-1.0,46303.0,-1.0
36-50,2,11,5.0,1,1963,3.0,-1.0,7.0
51-65,2,11,11.0,2,1981,3.0,-1.0,1.0
51-65,1,11,12.0,2,1993,-1.0,-1.0,7.0
51-65,1,11,11.0,2,1959,5.0,49222.0,1.0
19-35,2,11,13.0,1,1996,3.0,10711.0,1.0
19-35,2,11,10.0,2,1959,-1.0,-1.0,1.0
66+,2,11,12.0,2,1995,5.0,-1.0,8.0
36-50,1,11,11.0,1,1982,-1.0,-1.0,1.0
0-18,1,11,-1.0,1,2014,-1.0,-1.0,-1.0
66+,2,11,11.0,2,1942,5.0,86202.0,1.0
36-50,1,11,-1.0,1,1982,-1.0,-1.0,1.0
36-50,2,11,13.0,2,1991,-1.0,56210.0,-1.0
51-65,1,11,9.0,1,1995,-1.0,-1.0,-1.0
36-50,1,11,8.0,1,2002,5.0,-1.0,1.0
51-65,2,11,13.0,1,1937,3.0,97004.0,1.0
0-18,2,11,-1.0,1,2017,-1.0,-1.0,-1.0
51-65,2,11,6.0,2,1955,-1.0,-1.0,7.0
51-65,1,11,9.0,1,1995,-1.0,-1.0,-1.0
0-18,2,11,6.0,1,2007,-1.0,-1.0,-1.0
19-35,1,11,11.0,1,1961,-1.0,99998.0,1.0
51-65,1,11,13.0,2,2006,3.0,-1.0,1.0
0-18,1,11,14.0,2,2012,-1.0,-1.0,1.0
36-50,2,11,9.0,2,1941,-1.0,-1.0,1.0
36-50,2,11,10.0,4,1974,3.0,46209.0,1.0
51-65,1,11,12.0,2,1953,-1.0,-1.0,4.0
36-50,2,11,10.0,2,1979,5.0,13921.0,1.0
19-35,2,11,12.0,2,2009,-1.0,-1.0,1.0
19-35,1,11,10.0,2,1984,3.0,55103.0,1.0
36-50,1,11,15.0,2,1981,3.0,84130.0,2.0
51-65,2,11,1.0,1,1976,-1.0,-1.0,-1.0
0-18,1,11,8.0,2,1963,-1.0,85229.0,-1.0
51-65,1,11,10.0,2,1955,-1.0,-1.0,-1.0
51-65,1,11,7.0,2,1960,5.0,49222.0,1.0
19-35,1,11,13.0,1,1990,3.0,64910.0,1.0
51-65,2,11,12.0,1,2000,3.0,-1.0,1.0
19-35,1,11,9.0,2,1989,3.0,43302.0,1.0
0-18,1,11,8.0,1,2004,-1.0,-1.0,-1.0
0-18,2,11,11.0,1,1972,3.0,-1.0,1.0
36-50,2,11,10.0,2,1980,-1.0,-1.0,7.0
36-50,2,11,11.0,2,1969,3.0,86203.0,1.0
51-65,2,11,10.0,2,1963,6.0,10711.0,1.0
0-18,2,11,-1.0,1,2015,-1.0,-1.0,-1.0
0-18,1,11,-1.0,1,1968,-1.0,16291.0,1.0
0-18,1,11,10.0,1,2001,3.0,49232.0,1.0
36-50,2,11,11.0,2,1958,-1.0,49212.0,1.0
0-18,1,11,2.0,2,1970,-1.0,-1.0,-1.0
19-35,2,11,13.0,1,1987,3.0,-1.0,1.0
66+,2,11,12.0,2,1972,-1.0,-1.0,1.0
19-35,2,11,12.0,1,2009,-1.0,-1.0,-1.0
36-50,2,11,8.0,2,1972,3.0,97006.0,1.0
51-65,2,11,11.0,1,1953,-1.0,31007.0,9.0
51-65,1,11,6.0,1,2015,2.0,-1.0,9.0
36-50,2,11,7.0,2,1957,-1.0,46521.0,9.0
36-50,1,11,3.0,2,1977,2.0,-1.0,1.0
36-50,1,11,13.0,1,1987,-1.0,86102.0,9.0
19-35,1,11,16.0,1,1980,2.0,97004.0,7.0
51-65,1,11,6.0,2,1959,-1.0,49233.0,9.0
66+,2,11,13.0,1,1987,3.0,15121.0,99.0
36-50,2,11,13.0,2,1976,6.0,15121.0,1.0
51-65,2,11,11.0,4,1955,3.0,49223.0,1.0
0-18,1,11,2.0,1,2004,-1.0,-1.0,7.0
0-18,1,11,12.0,2,1945,-1.0,14101.0,1.0
19-35,1,11,13.0,1,1989,3.0,18111.0,1.0
36-50,2,11,12.0,1,1968,5.0,85101.0,1.0
51-65,2,11,10.0,4,1953,-1.0,-1.0,7.0
19-35,2,11,11.0,4,1976,-1.0,-1.0,-1.0
36-50,2,11,11.0,4,2005,3.0,-1.0,-1.0
19-35,2,11,13.0,2,1988,5.0,10505.0,7.0
66+,1,11,8.0,4,1942,-1.0,-1.0,-1.0
0-18,2,11,11.0,2,1958,-1.0,56210.0,1.0
0-18,1,11,10.0,1,2017,3.0,-1.0,8.0
51-65,2,11,13.0,2,1956,-1.0,-1.0,4.0
0-18,2,11,9.0,1,2002,-1.0,-1.0,8.0
0-18,2,11,13.0,1,1976,3.0,-1.0,1.0
36-50,1,11,12.0,1,1999,3.0,-1.0,1.0
36-50,1,11,15.0,1,1958,-1.0,-1.0,9.0
0-18,2,11,13.0,4,1981,-1.0,-1.0,1.0
51-65,2,11,4.0,2,2009,5.0,-1.0,-1.0
0-18,2,11,11.0,2,1945,-1.0,64910.0,5.0
36-50,1,11,8.0,1,1988,-1.0,-1.0,1.0
51-65,1,11,8.0,2,1962,5.0,41001.0,1.0
51-65,2,11,11.0,1,1965,-1.0,14101.0,8.0
36-50,2,11,11.0,2,1970,6.0,95111.0,1.0
36-50,1,11,11.0,2,1970,5.0,31007.0,1.0
0-18,1,11,19.0,1,1945,3.0,-1.0,1.0
0-18,2,11,3.0,1,2010,-1.0,-1.0,-1.0
36-50,1,11,13.0,1,1987,-1.0,86102.0,9.0
36-50,2,11,7.0,2,1975,-1.0,10712.0,7.0
51-65,1,11,13.0,1,1979,6.0,-1.0,8.0
36-50,2,11,10.0,2,1972,-1.0,-1.0,1.0
36-50,1,11,12.0,2,1939,3.0,-1.0,9.0
36-50,1,11,10.0,4,1968,3.0,-1.0,-1.0
51-65,2,11,5.0,4,1959,-1.0,-1.0,7.0
19-35,2,11,15.0,1,1995,3.0,64191.0,1.0
66+,1,11,10.0,2,1947,-1.0,-1.0,9.0
51-65,2,11,10.0,4,2014,-1.0,-1.0,7.0
0-18,2,11,12.0,2,1966,2.0,47113.0,7.0
19-35,1,11,15.0,2,1977,-1.0,-1.0,7.0
0-18,1,11,12.0,4,1956,-1.0,-1.0,9.0
0-18,2,11,13.0,2,1971,-1.0,84130.0,-1.0
19-35,1,11,12.0,1,1985,3.0,49233.0,1.0
36-50,2,11,11.0,2,1980,-1.0,14101.0,8.0
36-50,1,11,12.0,2,1989,-1.0,-1.0,1.0
0-18,1,11,10.0,2,1991,3.0,-1.0,7.0
0-18,1,11,4.0,2,1968,5.0,41003.0,8.0
19-35,2,11,7.0,1,1981,-1.0,-1.0,1.0
36-50,2,11,4.0,2,1970,-1.0,1411.0,1.0
51-65,2,11,10.0,2,1958,-1.0,-1.0,7.0
0-18,1,11,-1.0,1,2014,-1.0,-1.0,-1.0
36-50,1,11,8.0,2,1972,5.0,45203.0,1.0
19-35,1,11,15.0,2,1990,3.0,55101.0,1.0
36-50,1,11,12.0,1,2016,4.0,86202.0,7.0
0-18,1,11,10.0,1,2002,-1.0,-1.0,8.0
0-18,1,11,13.0,2,2005,-1.0,-1.0,7.0
51-65,2,11,12.0,1,2000,3.0,-1.0,1.0
36-50,2,11,10.0,1,1976,-1.0,-1.0,3.0
